name,website,category,city,state,phone,email,established
The Tides Wharf Restaurant,https://www.innatthetides.com/tides-wharf-restaurant/,restaurant,Bodega Bay,CA,,reservations@innatthetides.com,
Goji Kitchen,https://gojikitchen.com/,restaurant,Santa Rosa,CA,,gojikitchens@gmail.com,
Original Customs,http://originalcustoms.com,auto-repair,Sonoma,CA,,mark@originalcustoms.com,
Costeaux French Bakery,https://www.costeaux.com/,cafe,Santa Rosa,CA,,info@costeaux.com,
Petaluma Pie Company,https://petalumapiecompany.com/,cafe,Petaluma,CA,,pie@petalumapie.com,
Himalayan Restaurant,https://www.himalayanrestaurantwindsor.com/,restaurant,Windsor,CA,,himalayanwindsor@gmail.com,
LaSalette,https://www.lasaletterestaurant.com/,restaurant,Sonoma,CA,,info@lasaletterestaurant.com,
Mezzeluna,https://mezzeluna.com,restaurant,Cotati,CA,(707) 992-0101,hi@mezzeluna.com,
W Real Estate,https://wrealestate.net,real-estate,Santa Rosa,CA,,info@wrealestate.net,
Romeo Vineyards and Cellars,https://www.romeovineyards.com/,winery,Calistoga,CA,(707) 942-8239,info@romeovineyards.com,1996
