name,website,category,city,state,phone,email,address
DeJusto Plumbing,https://dejustoplumbing.com,plumbing,Santa Rosa,CA,(707) 322-9873,dejustoplumbing@gmail.com,"2205 Gold Leaf Ln, Santa Rosa, CA 95403"
LoDolce Electric,https://lodolceelectric.com,electrician,Santa Rosa,CA,(707) 494-1611,LoDolceElectric@gmail.com,"Santa Rosa, CA"
North HVAC Services,https://www.northhvacservices.com,hvac,Petaluma,CA,(707) 430-3360,northhvacservices@gmail.com,"3855 Cypress Dr # H, Petaluma, CA 94952"
Hahn Automotive,https://www.hahnautomotive.net,auto-repair,Santa Rosa,CA,(707) 544-5080,carcare@hahnautomotive.net,"940 N Dutton Avenue, Santa Rosa, CA 95401"
The Wild Poppy Cafe,https://www.thewildpoppycafe.com,cafe,Sebastopol,CA,(707) 503-6332,info@thewildpoppycafe.com,"9890 Bodega Hwy, Sebastopol, CA 95472"
Lily's Salon,https://lilyssaloninsebastopol.com,salon,Sebastopol,CA,(707) 824-1075,Lisa@lilyssaloninsebastopol.com,"145 Pleasant Hill Avenue North, Suite 101, Sebastopol, CA 95472"
Essential Massage Therapy,https://essential-mt.com,spa,Petaluma,CA,(707) 871-6046,contact@essential-mt.com,"131 Lynch Creek Way, Petaluma, CA 94954"
Crandall Roofing,https://www.crandallroofing.com,roofing,Santa Rosa,CA,(707) 744-3744,crandallroofing@aol.com,"183 Oceanic Way, Santa Rosa, CA 95407"
DiFranco Gate & Fence Company,https://www.difrancogateandfence.com,fencing,Sebastopol,CA,(707) 829-8993,info@difrancogateandfence.com,"1235 Gravenstein Highway S, Sebastopol, CA 95472"
Royal Kingdom Painting,https://rkpsonoma.com,painting,Sonoma,CA,(707) 892-9868,royalpaintingkingdom@gmail.com,"Sonoma, CA"
