name,website,category,city,state,phone,email,address
Maboroshi Wine,http://www.maboroshiwine.com/,winery,Sebastopol,CA,+17078291216,,2970 Thorn Rd
Albini Family Vineyards,http://www.albinifamilyvineyards.com,winery,Windsor,CA,+17078389249,,886 Jensen Ln
Mueller Winery,http://www.muellerwine.com,winery,Healdsburg,CA,+17074738086,,118 North St
La Dolce Vita Wine Lounge,http://www.ldvwine.com/,winery,Petaluma,CA,+17077636363,,151 Petaluma Blvd S
CAST Wines,http://www.castwines.com,winery,Geyserville,CA,+17074311225,,8500 Dry Creek Rd
Christopher Creek Winery,http://www.christophercreek.com/,winery,Healdsburg,CA,+17074332001,,641 Limerick Ln
Tyge William Cellars,http://tygewilliamcellars.com/,winery,Sonoma,CA,+17076088446,,144 W Napa St
Char Vale Vineyards and Winery,http://www.charvalewinery.com/,winery,Sebastopol,CA,+17078276102,,9280 Occidental Rd
D & L Carinalli Vineyards,http://www.dlcarinallivineyards.com/,winery,Sebastopol,CA,+17078232220,,4905 Gravenstein Hwy S
The Meeker Vineyard Tasting Room,http://www.meekerwine.com/,winery,Healdsburg,CA,+17074312148,,5 Fitch St
