name,website,category,city,state,phone,email,address
BRM Builders,http://brmbuild.com/,contractor,Santa Rosa,CA,+17074816228,chris@brmbuild.com,1851 Piner Rd
Paragon Power LLC,http://paragonpower.us/,electrician,Santa Rosa,CA,+17076969658,paragonpowerllc@proton.me,1821 Sansone Dr
Aleman Concrete,http://alemanconcreteconstruction.com/,contractor,Santa Rosa,CA,+17077751497,dougaleman@yahoo.com,5023 Algiers Ave
Vital Energy Solutions,https://www.vitalenergysolar.com/,electrician,Sebastopol,CA,+17078003884,power@vitalenergysolar.com,"7064 Corline Court, Building B"
Point Pacific Drilling,https://pointpacificdrilling.com,contractor,Petaluma,CA,+14154558249,chris@pacificcoastdrilling.com,121 Lakeville St
Superior Deck Service,http://www.superiordecks.com,contractor,Santa Rosa,CA,+17075889911,superiordecks@comcast.net,3994 Petaluma Hill Rd
Curoso Plumbing Inc.,https://curosoplumbing.com/,plumbing,Santa Rosa,CA,+17075455017,jimcuroso06@outlook.com,"1925 Fulton Road, Santa Rosa"
Reynoso's Stoneworks,http://www.reynosostoneworks.com,contractor,Santa Rosa,CA,+17073218980,reynososstoneworks@yahoo.com,1532 Buckboard Pl
Green Town Electric,https://greentownelectrical.com/,electrician,Santa Rosa,CA,+17074905605,greentownelectric@gmail.com,331 10th St
Rainbow Comfort,http://rainbowcomfort.com/,hvac_services,Santa Rosa,CA,+17074848777,jim@rainbowcomfort.com,1415 Fulton Rd
